wlo,whi,flux
# keV,keV,phot/cm^2/s/bin
   0.18458,    0.18459,   9.1703e-11
   0.18459,    0.18461,   8.7302e-11
   0.18461,    0.18462,   9.1256e-11
   0.18462,    0.18464,   1.6072e-10
   0.18464,    0.18465,   9.1582e-10
   0.18465,    0.18467,   3.6598e-09
   0.18467,    0.18468,   7.1579e-09
   0.18468,    0.18470,   6.1341e-09
   0.18470,    0.18471,   1.7619e-09
   0.18471,    0.18473,   2.1437e-10
   0.18473,    0.18474,   9.3636e-11
   0.18474,    0.18476,   9.7449e-11
   0.18476,    0.18477,   1.1337e-10
   0.18477,    0.18478,   5.2133e-10
   0.18478,    0.18480,   2.3872e-09
   0.18480,    0.18481,   3.3439e-09
   0.18481,    0.18483,   1.3285e-09
   0.18483,    0.18484,   2.1122e-10
   0.18484,    0.18486,   8.9439e-11
   0.18486,    0.18487,   8.6591e-11
   0.18487,    0.18489,   9.0381e-11
   0.18489,    0.18490,   1.0495e-10
   0.18490,    0.18492,   1.3148e-10
   0.18492,    0.18493,   1.2721e-10
   0.18493,    0.18495,   9.6983e-11
   0.18495,    0.18496,   9.9571e-11
   0.18496,    0.18498,   1.6284e-10
   0.18498,    0.18499,   1.2059e-10
   0.18499,    0.18501,   8.7800e-11
   0.18501,    0.18502,   1.8513e-10
   0.18502,    0.18504,   1.3125e-09
   0.18504,    0.18505,   1.1690e-09
   0.18505,    0.18507,   1.6520e-10
   0.18507,    0.18508,   1.0670e-10
   0.18508,    0.18510,   9.3973e-11
   0.18510,    0.18511,   8.7305e-11
   0.18511,    0.18513,   9.5802e-11
   0.18513,    0.18514,   1.5040e-10
   0.18514,    0.18516,   1.7046e-10
   0.18516,    0.18517,   1.0844e-10
   0.18517,    0.18519,   8.9572e-11
   0.18519,    0.18520,   8.7837e-11
   0.18520,    0.18522,   8.6361e-11
   0.18522,    0.18523,   8.6067e-11
   0.18523,    0.18525,   8.6050e-11
   0.18525,    0.18526,   8.6043e-11
   0.18526,    0.18528,   8.6040e-11
   0.18528,    0.18529,   8.7391e-11
   0.18529,    0.18531,   1.1412e-10
   0.18531,    0.18532,   1.2480e-10
   0.18532,    0.18534,   8.9824e-11
   0.18534,    0.18535,   8.6081e-11
   0.18535,    0.18537,   1.0990e-10
   0.18537,    0.18538,   5.9606e-10
   0.18538,    0.18540,   8.1172e-10
   0.18540,    0.18541,   1.5989e-10
   0.18541,    0.18543,   8.6427e-11
   0.18543,    0.18544,   8.5974e-11
   0.18544,    0.18546,   8.6067e-11
   0.18546,    0.18547,   9.2057e-11
